ANMOIS,DEP,ARR,PC15_D,PC15_A,RETARD_D,RETARD_A,annee,mois
201209,LFPG,KPHL,0.118,,12.1,,2012,09
201209,LFPG,DTMB,0.538,,54.3,,2012,09
201209,LFPG,LROP,0.193,,8.4,,2012,09
201209,LFPG,HAAB,0.087,,5.5,,2012,09
201209,LFPG,OJAI,0.350,,15.6,,2012,09
201209,LFPG,RKSI,0.333,,11.4,,2012,09
201209,LFPG,UKBB,0.289,,10.9,,2012,09
201209,LFPG,CYYZ,0.319,,20.9,,2012,09
201209,LFPG,LTBA,0.357,,15.1,,2012,09
201209,LFPG,LYBE,0.532,,27.3,,2012,09
201209,LFPG,OMDB,0.430,,14.6,,2012,09
201209,LFPG,UMMS,0.333,,16.4,,2012,09
201209,LFPG,FZAA,0.722,,29.9,,2012,09
201209,LFPG,FKKD,0.729,,29.5,,2012,09
201209,LFPG,FOOL,0.545,,18.2,,2012,09
201209,LFPG,KLAX,0.678,,26.1,,2012,09
201209,LFPG,ZGGG,0.157,,8.1,,2012,09
201209,LFPG,VIDP,0.340,,13.9,,2012,09
201209,LFPG,KJFK,0.320,,19.2,,2012,09
201209,LFPG,CYUL,0.413,,21.8,,2012,09
201209,LFPG,KCVG,0.100,,4.7,,2012,09
201209,LFPG,UDYZ,0.682,,26.0,,2012,09
201209,LFPG,GABS,0.607,,28.0,,2012,09
201209,LFPG,KMIA,0.554,,24.0,,2012,09
201209,LFPG,DRRN,0.824,,27.4,,2012,09
201209,LFPG,RJTT,0.300,,15.2,,2012,09
201209,LFPG,FIMP,0.196,,9.3,,2012,09
201209,LFPG,ZBAA,0.270,,9.5,,2012,09
201209,LFPG,KSFO,0.726,,26.4,,2012,09
201209,LFPG,MMMX,0.483,,15.9,,2012,09
201209,LFPG,MUHA,0.667,,26.8,,2012,09
201209,LFPG,KBOS,0.364,,13.3,,2012,09
201209,LFPG,MDPC,0.619,,21.9,,2012,09
201209,LFPG,VTBS,0.179,,10.8,,2012,09
201209,LFPG,FMEE,0.179,0.258,10.0,15.3,2012,09
201209,LFPG,VHHH,0.250,,9.6,,2012,09
201209,LFPG,KORD,0.289,,19.3,,2012,09
201209,LFPG,VABB,0.385,,15.7,,2012,09
201209,LFPG,KIAH,0.345,,30.0,,2012,09
201209,LFPG,OBBI,0.564,,17.5,,2012,09
201209,LFPG,ZSPD,0.250,,10.2,,2012,09
201209,LFPG,FCPP,0.273,,14.2,,2012,09
201209,LFPG,FMMI,0.690,,51.4,,2012,09
201209,LFPG,DXXX,0.684,,21.3,,2012,09
201209,LFPG,FKYS,0.846,,27.4,,2012,09
201209,LFPG,DNAA,1.000,,37.1,,2012,09
201209,LFPG,TNCM,0.214,,10.7,,2012,09
201209,LFPG,OOMS,0.059,,3.3,,2012,09
201209,LFPG,HKJK,0.176,,5.1,,2012,09
201209,LFPG,SKBO,0.633,,21.8,,2012,09
201209,LFPG,KDTW,0.383,,17.6,,2012,09
201209,LFPG,VOBL,0.462,,17.6,,2012,09
201209,LFPG,SVMI,0.500,,19.6,,2012,09
201209,LFPG,RJAA,0.242,,17.9,,2012,09
201209,LFPG,KDFW,0.567,,31.2,,2012,09
201209,LFPG,KSEA,0.200,,7.5,,2012,09
201209,LFPG,KEWR,0.117,,11.0,,2012,09
201209,LFPG,SPJC,0.773,,20.3,,2012,09
201209,LFPG,ZHHH,0.250,,12.7,,2012,09
201209,LFPG,WMKK,0.233,,9.1,,2012,09
201209,LFPG,KCLT,0.033,,3.4,,2012,09
201209,LFPG,WSSS,0.200,,11.3,,2012,09
201209,LFPG,SAEZ,0.100,,6.5,,2012,09
201209,LFPG,FAOR,0.533,,82.1,,2012,09
201209,LFPG,KPIT,0.056,,9.4,,2012,09
201209,LFPG,RJBB,0.133,,7.7,,2012,09
201209,LFPG,SCEL,0.241,,10.6,,2012,09
201209,LFPG,VVTS,0.462,,12.4,,2012,09
201209,LFPG,VDPP,0.154,,7.3,,2012,09
201209,LFPG,KSLC,0.233,,11.5,,2012,09
201209,LFPG,KMSP,0.333,,14.9,,2012,09
201209,LFPG,CYQB,0.071,,4.4,,2012,09
201209,LFPG,ZYTL,0.385,,26.2,,2012,09
201209,LFPG,VVNB,0.115,,10.0,,2012,09
201209,LFPG,SBCF,0.000,,1.5,,2012,09
201209,LFPG,RCTP,0.118,,8.3,,2012,09
201209,LFPG,VCBI,0.176,,30.2,,2012,09
201209,LFBT,LFPO,,0.063,,3.7,2012,09
201209,EHEH,LFMN,,0.091,,4.1,2012,09
201209,EHEH,LFML,,0.111,,12.1,2012,09
201209,LFST,LIRF,0.000,,1.7,,2012,09
201209,LFST,LFLL,0.040,0.040,4.0,3.5,2012,09
201209,LFST,LKPR,0.081,,2.4,,2012,09
201209,LFST,LEBL,0.091,,4.9,,2012,09
201209,LFST,EBBR,0.200,,13.7,,2012,09
201209,LFST,LFMN,0.120,0.100,9.5,4.3,2012,09
201209,LFST,LFPG,0.059,0.008,4.4,1.1,2012,09
201209,LFST,LFQQ,0.054,,2.0,,2012,09
201209,LFST,LFRS,0.079,0.079,7.3,6.5,2012,09
201209,LFST,LFBD,0.086,0.057,4.8,4.0,2012,09
201209,LFST,LFMT,0.000,0.071,4.0,2.9,2012,09
201209,LFST,EHAM,0.050,,1.8,,2012,09
201209,LFST,LFML,0.063,0.025,3.6,2.0,2012,09
201209,LFST,LFBO,0.021,0.021,1.9,2.3,2012,09
201209,LFST,LFPO,0.026,0.026,2.4,2.1,2012,09
201209,LFST,LEMD,0.115,,7.7,,2012,09
201209,LFST,GMMN,0.400,,10.0,,2012,09
201209,LFST,DTTA,0.917,,63.3,,2012,09
201209,LFMT,LFLL,0.014,0.043,2.0,2.8,2012,09
201209,LFMT,LFPG,0.117,0.067,5.7,3.8,2012,09
201209,LFMT,EDFH,0.059,,3.1,,2012,09
